"","treeID","tree_height_m","tree_x","tree_y","crown_area_m2","tree_cbh_m","is_training_cbh","Date","Plot","Start_Time","End_Time","X","Y","U","stdeast","stdnorth","stdu","RMSE","RMSN","RMSU","Method","notes","BUFF_DIST","ORIG_FID","Shape_Leng","Shape_Area"
"333","11472_400056.5_4033208.5",12.8000001907349,400056.5,4033208.5,21,2.5,TRUE,815,99,"9:17","9:47",36.438835079,-106.11502848,2498.8384,0.1762,0.213,1.9309,0.1762,0.213,1.9308,"static",NA,11.3,96,0.000716957471877,0.0000000401143663733
"334","11518_400022.5_4033207.5",9.85000038146973,400022.5,4033207.5,20,4.5,TRUE,816,108,"5:20","5:49",36.438917279,-106.115567485,2498.0606,0.4602,0.4931,1.2474,0.4602,0.4931,1.2473,"static",NA,11.3,105,0.000716957471852,0.0000000401143663709
"335","11519_400067.5_4033207.5",12.1199998855591,400067.5,4033207.5,21,4.5,TRUE,815,99,"9:17","9:47",36.438835079,-106.11502848,2498.8384,0.1762,0.213,1.9309,0.1762,0.213,1.9308,"static",NA,11.3,96,0.000716957471877,0.0000000401143663733
"336","11544_400005.5_4033206.5",7.57000017166138,400005.5,4033206.5,19,2.5,TRUE,816,108,"5:20","5:49",36.438917279,-106.115567485,2498.0606,0.4602,0.4931,1.2474,0.4602,0.4931,1.2473,"static",NA,11.3,105,0.000716957471852,0.0000000401143663709
"337","11547_400064.5_4033206.5",14.1599998474121,400064.5,4033206.5,38,3.5,TRUE,815,99,"9:17","9:47",36.438835079,-106.11502848,2498.8384,0.1762,0.213,1.9309,0.1762,0.213,1.9308,"static",NA,11.3,96,0.000716957471877,0.0000000401143663733
"338","11598_400012.5_4033205.5",12.3000001907349,400012.5,4033205.5,39,3.5,TRUE,816,108,"5:20","5:49",36.438917279,-106.115567485,2498.0606,0.4602,0.4931,1.2474,0.4602,0.4931,1.2473,"static",NA,11.3,105,0.000716957471852,0.0000000401143663709
"339","11599_400026.5_4033205.5",12.710000038147,400026.5,4033205.5,26,6.5,TRUE,816,108,"5:20","5:49",36.438917279,-106.115567485,2498.0606,0.4602,0.4931,1.2474,0.4602,0.4931,1.2473,"static",NA,11.3,105,0.000716957471852,0.0000000401143663709
"340","11646_400015.5_4033204.5",14.2200002670288,400015.5,4033204.5,24,4.5,TRUE,816,108,"5:20","5:49",36.438917279,-106.115567485,2498.0606,0.4602,0.4931,1.2474,0.4602,0.4931,1.2473,"static",NA,11.3,105,0.000716957471852,0.0000000401143663709
"341","11647_400057.5_4033204.5",12.1000003814697,400057.5,4033204.5,25,5.5,TRUE,815,99,"9:17","9:47",36.438835079,-106.11502848,2498.8384,0.1762,0.213,1.9309,0.1762,0.213,1.9308,"static",NA,11.3,96,0.000716957471877,0.0000000401143663733
"342","11684_400075.5_4033203.5",15.7200002670288,400075.5,4033203.5,33,4.5,TRUE,815,99,"9:17","9:47",36.438835079,-106.11502848,2498.8384,0.1762,0.213,1.9309,0.1762,0.213,1.9308,"static",NA,11.3,96,0.000716957471877,0.0000000401143663733
"343","11733_400051.5_4033202.5",13.3599996566772,400051.5,4033202.5,30,3.5,TRUE,815,99,"9:17","9:47",36.438835079,-106.11502848,2498.8384,0.1762,0.213,1.9309,0.1762,0.213,1.9308,"static",NA,11.3,96,0.000716957471877,0.0000000401143663733
"344","11734_400070.5_4033202.5",15.0100002288818,400070.5,4033202.5,36,3.5,TRUE,815,99,"9:17","9:47",36.438835079,-106.11502848,2498.8384,0.1762,0.213,1.9309,0.1762,0.213,1.9308,"static",NA,11.3,96,0.000716957471877,0.0000000401143663733
"345","11775_400016.5_4033201.5",13.2700004577637,400016.5,4033201.5,46,2.5,TRUE,816,108,"5:20","5:49",36.438917279,-106.115567485,2498.0606,0.4602,0.4931,1.2474,0.4602,0.4931,1.2473,"static",NA,11.3,105,0.000716957471852,0.0000000401143663709
"346","11776_400023.5_4033201.5",11.4399995803833,400023.5,4033201.5,18,6.5,TRUE,816,108,"5:20","5:49",36.438917279,-106.115567485,2498.0606,0.4602,0.4931,1.2474,0.4602,0.4931,1.2473,"static",NA,11.3,105,0.000716957471852,0.0000000401143663709
"347","11814_400021.5_4033200.5",11.2299995422363,400021.5,4033200.5,20,5.5,TRUE,816,108,"5:20","5:49",36.438917279,-106.115567485,2498.0606,0.4602,0.4931,1.2474,0.4602,0.4931,1.2473,"static",NA,11.3,105,0.000716957471852,0.0000000401143663709
"348","11815_400057.5_4033200.5",12.7799997329712,400057.5,4033200.5,26,5.5,TRUE,815,99,"9:17","9:47",36.438835079,-106.11502848,2498.8384,0.1762,0.213,1.9309,0.1762,0.213,1.9308,"static",NA,11.3,96,0.000716957471877,0.0000000401143663733
"349","11902_400051.5_4033198.5",12.2600002288818,400051.5,4033198.5,32,4.5,TRUE,815,99,"9:17","9:47",36.438835079,-106.11502848,2498.8384,0.1762,0.213,1.9309,0.1762,0.213,1.9308,"static",NA,11.3,96,0.000716957471877,0.0000000401143663733
